place_id,name,image_urls,address,duration,type,categories,main_image,price,rating,description,opening_hours,reviews,city,unit
place_000010,Get Vietnam Tours,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/50/61/4c/halong-bay.jpg?w=1200&h=1200&s=1'], , ,Attraction,"['Water Sports in Hanoi', 'Parasailing & Paragliding in Hanoi', 'Gondola Cruises in Hanoi', 'River Rafting & Tubing in Hanoi', 'Boat Rentals in Hanoi']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/50/61/4c/halong-bay.jpg?w=1200&h=1200&s=1,86.0,5.0,"Vietnam Tours, Sightseeing and Activities. Top Tours for Amazing Prices Here! Best price guarantee the largest inventory of tours and activities",12:00 AM - 11:59 PM, ,hanoi,$
place_000011,The Vape Club, , ,1-2 hours,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,122.0,4.8, ,9:00 AM - 9:30 PM, ,hanoi,$
place_000012,Hills Beauty,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/44/3b/hillsbeauty-levanhuu.jpg'], ,6 miN,Attraction,"['Also popular with travelers', 'Hammams & Turkish Baths in Hanoi', 'Health Clubs in Hanoi', 'See all', 'Onsen Resorts in Hanoi']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/44/3b/hillsbeauty-levanhuu.jpg,86.0,5.0,"Nature gives you the face you have at Twenty; it is up to you to merit the face you have at Fifty. Relax, Fefresh, Renew.",9:00 AM - 9:00 PM, ,hanoi,$
place_000013,Diamond Bra Bar,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/1a/2d/6c/getlstd-property-photo.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/d9/46/46/fresh-rolls.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/d9/46/45/menu.jpg']","11 Luong Ngoc Quyen, HoanKiem District, Hanoi 10000 Vietnam",2-3 hours,Attraction,"['Cigar Bars in Hanoi', 'Bars & Clubs in Hanoi', 'Also popular with travelers', 'See all', 'Blues Bars in Hanoi']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/1a/2d/6c/getlstd-property-photo.jpg,86.0,5.0,"Diamond Bra Bar is a fun-loving and friendly bar on Luong Ngoc Quyen, HoanKiem District – the center of Hanoi Capital, where every night the young Vietnames and Foreiners can meet up and certainly make the customers heat up. Often considered the best bar in Hanoi, the design is modern, the service prompt, and best of all, The Diamond Bra is one of the only bars in the Center of Hanoi Capital a", , ,hanoi,$
place_000014,Minh Sinh Travel, , , ,Attraction,"['Bus Tours in Hanoi', 'Walking Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Segway Tours in Hanoi', 'Factory Tours in Hanoi']", ,86.0,5.0,"Minh Sinh travel also offers private tours upon requests and supplemental services such as hotel reservations, tour guide services, international and domestic air ticket booking services, airport transferals, car rentals and other services related to the tourism field. Let's travel anywhe-re with Minh Sinh travel and let's cruising around Halong bay with Galaxy Cruise, Amigo Cruise to light up", , ,hanoi,$
place_000015,Little Black Duck - Cooking Class, ,"23 Ngo Gach Street Hang Dao, Hoan Kiem District, Hanoi 10000 Vietnam",2-3 hours,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000016,tiNiWorld, , ,2-3 hours,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000017,Vian Trans Vietnam, , ,1-2 hours,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0,"At VianTrans, we strive to provide our customers with the very best service in the industry today. We set out a quest to build a whole new standard that redefines the transport service. Our motto is proven through our name: “Vi An” which literary means “For your safety”. Bearing this in mind, we build our team focusing on two things: the quality of vehicle and the attitude of driver.", , ,hanoi,$
place_000018,MILF Bar, , ,3 hours,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,65.0,5.0, , , ,hanoi,$
place_000019,Do Manh Cuong Boutique, , ,3 miN,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000020,Hanoi Craft, ,"12 Doi Can Street, Ba Dinh District, Hanoi 10000 Vietnam",2-3 hours,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000021,"Indovina Travel - Day Tours (Hanoi, Vietnam): Address, Phone Number - Tripadvisor", , , ,Attraction,"['Bus Tours in Hanoi', 'Walking Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Segway Tours in Hanoi', 'Factory Tours in Hanoi']", ,86.0,5.0,"Although many westerners still imagine Vietnam through the lens of war, it is in reality a country filled with captivating natural beauty and tranquil village life. Its highlands and rainforest region, far from being devastated, continue to yield new species and team with exotic wildlife. Its islands and beaches are among the finest in all of Southeast Asia, and its cuisine is very delicious.", , ,hanoi,$
place_000022,Hanoi Backpacker Tours - Day Tour,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c8/b2/f4/hanoi-backpacker-tours.jpg?w=1200&h=1200&s=1'], , ,Attraction,"['Water Sports in Hanoi', 'Parasailing & Paragliding in Hanoi', 'Gondola Cruises in Hanoi', 'River Rafting & Tubing in Hanoi', 'Boat Rentals in Hanoi']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c8/b2/f4/hanoi-backpacker-tours.jpg?w=1200&h=1200&s=1,35.0,4.9, , , ,hanoi,$
place_000023,Kuy Son Propaganda Art, , ,2 miN,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000024,Thanh Binh Gallery, ,"27 25, Trang Tien Street, Hanoi 10000 Vietnam",8 miN,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000025,Truong Thanh Limousine,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/33/ce/0c/getlstd-property-photo.jpg'],Reach out directlyVisit websiteCallEmail,3 hours,Attraction,"['Public Transportation Systems in Hanoi', 'Bus Services in Hanoi', 'Taxis & Shuttles in Hanoi', 'Also popular with travelers', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/33/ce/0c/getlstd-property-photo.jpg,86.0,5.0,"We offer car services, route Ha Noi – Sapa or custom made. With 2 brand new limousines, equipped by modern furniture and supper funny drivers, we promise to satisfy all customers’ needs and wants. Besides, in care service includes phone chargers, water and snack. Add: No 19 To Huu, Trung Van, South Tu Liem, Hanoi",12:00 AM - 11:59 PM, ,hanoi,$
place_000026,Lucas Spa, , ,2 miN,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000027,Penvus Handmade Leather,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2b/15/9f/all-penvus-s-products.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/45/06/82/a-small-leather-workshop.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/45/06/81/a-small-leather-workshop.jpg']", ,1 hour,Attraction,"['Art Galleries in Hanoi', 'Antique Shops in Hanoi', 'Also popular with travelers', 'Department Stores in Hanoi', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2b/15/9f/all-penvus-s-products.jpg,86.0,5.0,All PENVUS’s products are meticulously handmade in fastidious details. It is the embrace of joy from customers received the good that motivates me to work harder on every single product. Our motto for this business is to enlighten customers with a sense of craftsmanship presented in each and every product from which we treasure and made with our hearts., , ,hanoi,$
place_000028,Nha Hat Cai Luong Ha Noi, , ,2 miN,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0, , , ,hanoi,$
place_000029,Grote Knip,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a3/12/af/img-20180912-111606683.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/78/b5/ea/caption.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/76/ec/3e/caption.jpg']", ,7 miN,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a3/12/af/img-20180912-111606683.jpg,85.0,4.6,"This was our favorite beach on our recent vacation stay out of about 8 that we snorkled. 
We bought 2 chairs and an umbrella for $15, never looked for facilities or food because we don't eat anything before snorkeling.  I believe up in the parking area there was a food truck, maybe smoothies?
Plentiful parking.  The beach was fairly clean. 
We saw good coral and beautiful fish here. We did, however, have quite a few jellyfish we ran into and when we spoke to someone in town at the dive shop, she said December is jellyfish season. We went back and got footage on our action camera to show proof.  She explained that a lot of times when it's overcast, weird things show up in the water.
Love this beach though!", ,"4,940",hanoi,$
place_000030,Generals Highway,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/68/f9/be/i-love-the-layering-of.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/e4/97/2f/crossing-the-generals.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/bd/e9/9f/caption.jpg']", ,1 hour,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/68/f9/be/i-love-the-layering-of.jpg,289.0,4.6,"A 30-mile scenic drive at 7,000 feet.", ,442,hanoi,$
place_000031,Colonia Roma,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/5c/ea/a9/caption.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/14/e6/53/colonia-roma.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/d8/e4/cf/colonia-roma.jpg']", ,4 min,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/5c/ea/a9/caption.jpg,110.0,4.6,"We were there on a Sunday afternoon. The place is full of beautiful architecture, greenery, cafés, bakeries and all kinds of little fairs that sell arts and crafts. Perfect for a leisure - pleasure stroll.", ,43,hanoi,$
place_000032,Granada Center,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e8/65/f6/received-1467319503278262.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f6/5e/f6/tim-horton-s-1st-floor.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/c2/63/b3/overview.jpg']", , ,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e8/65/f6/received-1467319503278262.jpg,60.0,4.1,"A nice mall, but no toilet seats on the toilets. Surely these are basic necessities for good service. This definitely needs to be reviewed.",9:45 AM - 11:00 PM,244,hanoi,$
place_000033,Koh Kho Khao Island,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/e3/37/img-20190131-113902-largejpg.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/79/95/18/caption.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/79/95/17/caption.jpg']",Full viewBest nearbyRestaurants2 within 3 milesNarakorn Restaurant4.74.7 of 5 bubbles(23)2.9 mi$$ - $$$ • Asian • Thai • Vegetarian friendlyThoongtuek Coffe5.05 of 5 bubbles(3)2.6 miSee all, ,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/e3/37/img-20190131-113902-largejpg.jpg,120.51,4.6,Spent 2 nights on this small paradise island and it was amazing. Beaches are incredible and it is so peaceful nobody about ! Spent 2 nights in a beach bungalow and the staff as always are amazing people. Food was scrumptious ❤️ took the boat across with the scooter which was fun. Nothing for children to do and quite rundown around the harbour but does not detract from the experience and the locals all lovely. I would highly recommend as a get away from the masses and will definitely be returning with my husband in the future ❤️, ,191,hanoi,$
place_000034,Alamitos Bay,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/88/a2/d2/fb-img-1610849098047.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/99/32/79/alamitos-bay.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/99/32/6c/alamitos-bay.jpg']", ,2 hour,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/88/a2/d2/fb-img-1610849098047.jpg,13.0,4.1,"We wanted to walk along the beach and Alamitos Beach has a nice, long ""board walk"" which is really two concrete paths. It's nice because one of the paths is specific to bikes and other things with wheels leaving the other path for pedestrians. I was happy to see that there were a couple bathrooms along the way. However, they were ALL locked up. There are a lot of homeless living on and along the beach. The water is dirty and doesn't get a lot of new water to refresh it because of the jetty protecting the bay.", ,10,hanoi,$
place_000035,Playa Los Cerritos,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/55/7e/d8/img-20171116-111657-largejpg.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f9/2f/ed/playa-los-cerritos.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/a4/bf/8b/hacienda.jpg']", ,15 min,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/55/7e/d8/img-20171116-111657-largejpg.jpg,70.0,4.3,"Secluded, crescent-shaped beach great for surfing and swimming.", ,664,hanoi,$
place_000036,Silver Anvil Metal Craft,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/2c/16/4c/swinging-hard.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/bc/c4/94/caption.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/bc/c4/93/caption.jpg']", ,1-2 hours,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/2c/16/4c/swinging-hard.jpg,92.19,5.0,"Come forge a memory with us! Gift and retail shop, offers an interactive blade forging experience for kids from 4 to 104! Just like your television favorites. Take a Bladesmithing class, participate in a workshop, purchase/order custom knives & decor items. Gift Certificates, sharpening and restoration services also available.",10:00 AM - 7:00 PM,73,hanoi,$
place_000037,Erawan Museum,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/73/84/79/erawan-museum.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/8f/7f/eb/caption.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/8f/7f/ba/caption.jpg']", ,1-2 hours,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/73/84/79/erawan-museum.jpg,11.07,4.3,Erawan Museum is not your typical Historical museum that we are all used to visit and see. You will be amazed on the very intricate carvings and designs inside the museum. It was a nice short visit with plenty of photos taken. Yet the downside of it all is that ---- inside the museum is very very hot/humid! With an entrance fee of about 400 baht -- they have considered to have it airconditioned. To make it comfortable inside and to enjoy the museum better. We visited at 4pm and the there were fewer crowds yet you can still feel how hot and humid inside. To the management of the museum --- please please please --- consider to upgrade the museum by adding airconditioning units.,9:00 AM - 6:00 PM,667,hanoi,$
place_000038,Sausalito Boardwalk,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7d/1b/35/photo5jpg.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/72/ae/55/sausalito-boardwalk.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/2b/8f/ba/yo-puerto-sausalito.jpg']", , ,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7d/1b/35/photo5jpg.jpg,99.0,4.4,"We spent an afternoon in a very pleasant way, walking around the harbor and admiring the boats. We also enjoyed a delicious Italian coffee and ate tasty Italian food at the Taste of Rome restaurant. It is a very beautiful and charming town.", ,510,hanoi,$
place_000039,Positano Scooter,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/18/b6/caption.jpg?w=1200&h=1200&s=1'], ,24 hours,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/18/b6/caption.jpg?w=1200&h=1200&s=1,,4.8,"Positano scooter Positano scooter are the 1st company in renting scooter in Sorrento, Amalfi, Praiano and Positano. We offer pickup and return delivery service free of charge", ,40,hanoi, 
place_000040,Florence Free Tour,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/88/fd/03/photo0jpg.jpg?w=1200&h=1200&s=1'], ,25 min,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/88/fd/03/photo0jpg.jpg?w=1200&h=1200&s=1,,4.3,"Florence Free Tour is the original walking tour of Florence. It is FREE, no tariff is applied or asked. Our professional guides work on a tip only basis and their motivation and your generosity will allow to continue these services. We offer 2 daily tours starting from Santa Maria Novella church.", ,816,hanoi, 
place_000041,Curacao Ostrich Farm (2025) - All You Need to Know BEFORE You Go (with Reviews),['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/c6/76/2a/curacao-ostrich-and-game.jpg?w=1200&h=1200&s=1'], , ,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/c6/76/2a/curacao-ostrich-and-game.jpg?w=1200&h=1200&s=1,446.8,4.3,"The Curacao Ostrich Farm is one of the biggest breeding farms outside Africa which offers you the change of a lifetime to come and watch, feed or ride these fascinating birds. At the Curacao Ostrich Farm there is an exciting safari trip by truck leaving every whole hour.Also, come to our restaurant Zambezi where you'll dine in true African style. Enjoy our ostrich specialties or other real South-African dishes in a relaxed ambience or have a drink beside the nightly campfire. Discover the rough north side of curaçao on a quad! 90 minutes of fun guaranteed on a quad you follow a local island guide, in caravan style',cross thourgh the nature of the north side, from the indian cave at sint joris bay to book pistol. Leaving the farm you immediately go off road through a desert like area, passing st. Joris, and bringing you further into the rough road.",9:00 AM - 4:00 PM,"1,194",hanoi,$
place_000042,Adventure Dubrovnik (2025) - All You Need to Know BEFORE You Go (with Reviews),['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/24/ba/5e/capture-amazing-views.jpg?w=1200&h=1200&s=1'], ,3 hours,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/24/ba/5e/capture-amazing-views.jpg?w=1200&h=1200&s=1,,4.9,"Explore the wonders of Dubrovnik, its extraordinary landmarks and stunning seascapes. We strive to combine equal parts history and legend with a fully immersive adventure experience. Our tours include Sea Kayaking and Snorkeling (Dubrovnik and Cavtat), walking tours (Dubrovnik Old Town, Dubrovnik Game of Thrones, Cavtat Old Town), Biking and Wine Tasting, Sailing (Dubrovnik, Elafiti Islands), and hiking. We also offer boat, sea kayak and bike rentals. Adventure Dubrovnik works to the highest standards of safety. We utilize top of the line equipment and each of our guides is professional, rigorously trained and legally licensed to guide under Croatian law. As one of the oldest operating companies in our niche, we’ve been awarded numerous Certificates of Excellence consecutively over many years and are members of the TripAdvisor Hall of Fame. Come adventuring with us and let us show you a bit of Dubrovnik from a different perspective!",1:00 PM - 5:00 PM,"4,412",hanoi, 
place_000043,Happy Gringo Tours,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/9e/2c/a5/happy-gringo-tours.jpg?w=1200&h=1200&s=1'], ,16 hours,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/9e/2c/a5/happy-gringo-tours.jpg?w=1200&h=1200&s=1,,4.8,"Happy Gringo Tours is ""The Unique Travel agency in Peru, that provides Machu Picchu hikes with ORGANIC Peruvian Food"". → We are 100% LEGAL and Peruvian → Machu Picchu Tours and treks designed for intellectual travelers → Proud to be a Locally owned travel company → Organic & Sustainable → Legal Inca Trail Operator - TRAVELING IS THE BEST UNIVERSITY!",9:00 AM - 1:00 PM,838,hanoi, 
place_000044,Arnold's Family Fun Center,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6b/5e/45/sodi-pro-kart.jpg?w=1200&h=1200&s=1'], , ,Attraction, ,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6b/5e/45/sodi-pro-kart.jpg?w=1200&h=1200&s=1,28.0,3.2,"Arnold's Fun at the Factory in Oaks is one of the largest INDOOR family fun centers in the United States featuring our famous all-electric Go-Karts, Laser Tag, Bowling, Bumper Cars, Bounce Zone, High Rise Ropes Course, Black Light Mini Golf, Kiddie Rides and more than 100 Arcade Games! Now featuring our Café with a beautiful candy counter, selection of hot food choices, specialty treats like ice cream and slushies, coffee drinks to keep you going and a fully stocked bar. FREE parking and easy access just moments off the Oaks exit of route 422-- only 6 miles from the PA Turnpike. Walk-in parties of all sizes welcome, call ahead to make reservations for group pricing to throw a party for more than 15 people. Birthday parties are the best price in the area starting at $28 per person for a minimum of 10 people. Our Go-karts are the fastest, coolest ride imaginable! You can't get a race like this anywhere else! Laser tag is the next biggest attraction. We have a huge arena an top quality e",3:00 PM - 9:00 PM,87,hanoi,$
